Iter;Problem;QPU;Qubits;Searched;Dec;Bin;Expected;Obtained;Error
8;Grover_4num_5Q;ibm_brisbane;5;4;16;'10000;0;124;124
8;Grover_4num_5Q;ibm_brisbane;5;4;17;'10001;0;148;148
8;Grover_4num_5Q;ibm_brisbane;5;4;18;'10010;0;124;124
8;Grover_4num_5Q;ibm_brisbane;5;4;19;'10011;0;141;141
8;Grover_4num_5Q;ibm_brisbane;5;4;20;'10100;0;115;115
8;Grover_4num_5Q;ibm_brisbane;5;4;21;'10101;0;160;160
8;Grover_4num_5Q;ibm_brisbane;5;4;22;'10110;0;128;128
8;Grover_4num_5Q;ibm_brisbane;5;4;23;'10111;0;133;133
8;Grover_4num_5Q;ibm_brisbane;5;4;24;'11000;0;107;107
8;Grover_4num_5Q;ibm_brisbane;5;4;25;'11001;0;124;124
8;Grover_4num_5Q;ibm_brisbane;5;4;26;'11010;0;135;135
8;Grover_4num_5Q;ibm_brisbane;5;4;27;'11011;0;142;142
8;Grover_4num_5Q;ibm_brisbane;5;4;28;'11100;0;117;117
8;Grover_4num_5Q;ibm_brisbane;5;4;29;'11101;0;150;150
8;Grover_4num_5Q;ibm_brisbane;5;4;30;'11110;0;121;121
8;Grover_4num_5Q;ibm_brisbane;5;4;31;'11111;1047;154;893
9;Grover_4num_5Q;ibm_brisbane;5;4;0;'00000;1047;128;919
9;Grover_4num_5Q;ibm_brisbane;5;4;1;'00001;0;147;147
9;Grover_4num_5Q;ibm_brisbane;5;4;2;'00010;0;97;97
9;Grover_4num_5Q;ibm_brisbane;5;4;3;'00011;0;130;130
9;Grover_4num_5Q;ibm_brisbane;5;4;4;'00100;0;130;130
9;Grover_4num_5Q;ibm_brisbane;5;4;5;'00101;0;139;139
9;Grover_4num_5Q;ibm_brisbane;5;4;6;'00110;0;123;123
9;Grover_4num_5Q;ibm_brisbane;5;4;7;'00111;0;127;127
9;Grover_4num_5Q;ibm_brisbane;5;4;8;'01000;0;121;121
9;Grover_4num_5Q;ibm_brisbane;5;4;9;'01001;0;131;131
9;Grover_4num_5Q;ibm_brisbane;5;4;10;'01010;0;107;107
9;Grover_4num_5Q;ibm_brisbane;5;4;11;'01011;0;143;143
9;Grover_4num_5Q;ibm_brisbane;5;4;12;'01100;0;133;133
9;Grover_4num_5Q;ibm_brisbane;5;4;13;'01101;0;143;143
9;Grover_4num_5Q;ibm_brisbane;5;4;14;'01110;1047;141;906
9;Grover_4num_5Q;ibm_brisbane;5;4;15;'01111;1047;126;921
9;Grover_4num_5Q;ibm_brisbane;5;4;16;'10000;0;133;133
9;Grover_4num_5Q;ibm_brisbane;5;4;17;'10001;0;134;134
9;Grover_4num_5Q;ibm_brisbane;5;4;18;'10010;0;133;133
9;Grover_4num_5Q;ibm_brisbane;5;4;19;'10011;0;135;135
9;Grover_4num_5Q;ibm_brisbane;5;4;20;'10100;0;101;101
9;Grover_4num_5Q;ibm_brisbane;5;4;21;'10101;0;153;153
9;Grover_4num_5Q;ibm_brisbane;5;4;22;'10110;0;121;121
9;Grover_4num_5Q;ibm_brisbane;5;4;23;'10111;0;149;149
9;Grover_4num_5Q;ibm_brisbane;5;4;24;'11000;0;117;117
9;Grover_4num_5Q;ibm_brisbane;5;4;25;'11001;0;131;131
9;Grover_4num_5Q;ibm_brisbane;5;4;26;'11010;0;140;140
9;Grover_4num_5Q;ibm_brisbane;5;4;27;'11011;0;146;146
9;Grover_4num_5Q;ibm_brisbane;5;4;28;'11100;0;136;136
9;Grover_4num_5Q;ibm_brisbane;5;4;29;'11101;0;147;147
9;Grover_4num_5Q;ibm_brisbane;5;4;30;'11110;0;107;107
